goos: darwin
goarch: amd64
pkg: std/net/url
BenchmarkPathEscape/#01-8  	20000000	       104 ns/op	      64 B/op	       1 allocs/op
BenchmarkPathEscape/#01-8  	20000000	       106 ns/op	      64 B/op	       1 allocs/op
BenchmarkPathEscape/#01-8  	20000000	       109 ns/op	      64 B/op	       1 allocs/op
BenchmarkPathEscape/#01-8  	10000000	       110 ns/op	      64 B/op	       1 allocs/op
BenchmarkPathEscape/#01-8  	20000000	       105 ns/op	      64 B/op	       1 allocs/op
BenchmarkPathEscape/#01-8  	20000000	       103 ns/op	      64 B/op	       1 allocs/op
BenchmarkPathEscape/#01-8  	20000000	       106 ns/op	      64 B/op	       1 allocs/op
BenchmarkPathEscape/#01-8  	20000000	       109 ns/op	      64 B/op	       1 allocs/op
BenchmarkPathEscape/#01-8  	20000000	       108 ns/op	      64 B/op	       1 allocs/op
BenchmarkPathEscape/#01-8  	20000000	       107 ns/op	      64 B/op	       1 allocs/op
BenchmarkPathEscape/#01-8  	20000000	       110 ns/op	      64 B/op	       1 allocs/op
BenchmarkPathEscape/#01-8  	20000000	       113 ns/op	      64 B/op	       1 allocs/op
BenchmarkPathEscape/#01-8  	10000000	       116 ns/op	      64 B/op	       1 allocs/op
BenchmarkPathEscape/#01-8  	20000000	       106 ns/op	      64 B/op	       1 allocs/op
BenchmarkPathEscape/#02-8  	20000000	        84.5 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathEscape/#02-8  	20000000	        81.9 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathEscape/#02-8  	20000000	        81.8 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathEscape/#02-8  	20000000	        80.8 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathEscape/#02-8  	20000000	        80.2 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathEscape/#02-8  	20000000	        83.3 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathEscape/#02-8  	20000000	        81.3 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathEscape/#02-8  	20000000	        80.0 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathEscape/#02-8  	20000000	        82.4 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathEscape/#02-8  	20000000	        80.2 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathEscape/#02-8  	20000000	        80.7 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathEscape/#02-8  	20000000	        80.5 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathEscape/#02-8  	20000000	        80.3 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathEscape/#02-8  	20000000	        85.6 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathEscape/#02-8  	20000000	        82.2 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathEscape/#02-8  	20000000	        80.4 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathEscape/#02-8  	20000000	        81.3 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathEscape/#02-8  	20000000	        82.6 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathEscape/#02-8  	20000000	        79.3 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathEscape/#02-8  	20000000	        77.8 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathEscape/#03-8  	10000000	       154 ns/op	      64 B/op	       1 allocs/op
BenchmarkPathEscape/#03-8  	10000000	       154 ns/op	      64 B/op	       1 allocs/op
BenchmarkPathEscape/#03-8  	10000000	       160 ns/op	      64 B/op	       1 allocs/op
BenchmarkPathEscape/#03-8  	10000000	       154 ns/op	      64 B/op	       1 allocs/op
BenchmarkPathEscape/#03-8  	10000000	       154 ns/op	      64 B/op	       1 allocs/op
BenchmarkPathEscape/#03-8  	10000000	       161 ns/op	      64 B/op	       1 allocs/op
BenchmarkPathEscape/#03-8  	10000000	       154 ns/op	      64 B/op	       1 allocs/op
BenchmarkPathEscape/#03-8  	10000000	       155 ns/op	      64 B/op	       1 allocs/op
BenchmarkPathEscape/#03-8  	10000000	       153 ns/op	      64 B/op	       1 allocs/op
BenchmarkPathEscape/#03-8  	10000000	       159 ns/op	      64 B/op	       1 allocs/op
BenchmarkPathEscape/#03-8  	10000000	       154 ns/op	      64 B/op	       1 allocs/op
BenchmarkPathEscape/#03-8  	10000000	       155 ns/op	      64 B/op	       1 allocs/op
BenchmarkPathEscape/#03-8  	10000000	       159 ns/op	      64 B/op	       1 allocs/op
